recipe_id,ingredient_name
2865606,cooked mixed grains
2865606,
2865608,spring onions
2865608,fresh ginger
2865608,hoisin sauce
2865608,oyster mushrooms
2865608,prawn crackers
2865608,firm tofu
2865608,vermicelli rice noodles
2865608,Sichuan chilli oil
2865608,EYB Comments See recipe for variations.
2865612,aubergines
2865612,runny honey
2865612,onions
2865612,halloumi
2865612,flatbread
2865612,oregano
2865612,baby capers in brine
2865612,
2865614,rocket
2865614,carrots
2865614,runny honey
2865614,flat-leaf parsley
2865614,clementines
2865614,cottage cheese
2865614,wholemeal pitta bread
2865614,smoked almonds
2865614,EYB Comments Can substitute wholemeal flatbread for wholemeal pitta bread.
2865616,rosemary
2865616,thyme
2865616,watercress
2865616,creamed horseradish
2865616,mixed cherry tomatoes
2865616,Maris Piper potatoes
2865616,
2865618,corn on the cob
2865618,rosemary
2865618,leek
2865618,courgettes
2865618,self-raising flour
2865618,cheddar cheese
2865618,cottage cheese
2865618,smoked tofu
2865618,
2865620,carrots
2865620,onions
2865620,basmati rice
2865620,poppadoms
2865620,frozen spinach
2865620,Madras curry paste
2865620,coriander sprigs
2865620,tinned light coconut milk
2865620,
2865622,feta cheese
2865622,red onion
2865622,dried oregano
2865622,flat-leaf parsley
2865622,egg
2865622,mixed cherry tomatoes
2865622,hot chilli sauce
2865622,
2865624,rocket
2865624,garlic
2865624,red onions
2865624,basmati rice
2865624,natural yoghurt
2865624,mixed peppers
2865624,chicken legs
2865624,Cajun seasoning
2865624,EYB Comments See recipe for a vegetarian variation.
2865627,spring onions
2865627,wholegrain mustard
2865627,puff pastry
2865627,"watercress, spinach, and rocket mix"
2865627,mixed mushrooms
2865627,boneless skinless chicken thighs
2865627,semi-skimmed milk
2865627,EYB Comments See recipe for a vegetarian variation.
2865630,carrots
2865630,whole chicken
2865630,corn on the cob
2865630,rosemary
2865630,English mustard
2865630,smoked streaky bacon
2865630,frozen peas
2865630,vermicelli rice noodles
2865630,
2865633,whole chicken
2865633,Chinese five-spice powder
2865633,fresh ginger
2865633,red onions
2865633,basmati rice
2865633,mixed peppers
2865633,roasted salted peanuts
2865633,tinned pineapple rings in juice
2865633,EYB Comments See recipe for variations.
2865634,fennel seeds
2865634,garlic
2865634,thyme
2865634,red wine
2865634,chicken legs
2865634,smoked streaky bacon
2865634,tinned cannellini beans
2865634,tinned plum tomatoes
2865634,
2865635,couscous
2865635,lemon
2865635,flat-leaf parsley
2865635,tahini
